URL,Company Name,Sector,LTP,P/E Ratio,Market Cap,Enterprise Value,No. of Shares,P/B Ratio,Face Value,Div. Yield,Book Value (TTM),CASH,DEBT,Promoter Holding,EPS (TTM),Sales Growth
https://ticker.finology.in/company/VISHWARAJ,Vishwaraj Sugar Industries Ltd.,Sugar,14.80,N/A,14.92,14.55,22.05,1.15,2,"0
                                %",12.82,1.19 Cr.,365.52 Cr.,29.05 %,-0.25,-10.83
https://ticker.finology.in/company/TIIL,Technocraft Industries (India) Ltd.,Steel & Iron Products,2790.00,N/A,2918.9,2764.5,3939,4.81,10,"0
                                %",579.93,96.93 Cr.,389.2 Cr.,74.75 %,90.57,-9.99
https://ticker.finology.in/company/KPIGREEN,KPI Green Energy Ltd.,Engineering - Construction,798.80,N/A,811.45,793.35,1116,5.73,5,"0.04
                                %",139.51,125.63 Cr.,784.24 Cr.,48.77 %,11.88,48.45
https://ticker.finology.in/company/MFSL,Max Financial Services Ltd.,Finance - Others,1106.00,N/A,1118.9,1105.45,1311.2,5.66,2,"0
                                %",195.5,21.43 Cr.,-11.23 Cr.,3.34 %,-0.32,-62.94
https://ticker.finology.in/company/GPTHEALTH,GPT Healthcare Ltd.,Hospital & Healthcare Services,183.70,N/A,184.5,180.1,219.7,6.53,10,"1.91
                                %",28.15,9.13 Cr.,12.42 Cr.,65.57 %,5.98,10.85
https://ticker.finology.in/company/SBC,SBC Exports Ltd.,Textile,27.17,N/A,27.35,26.66,37.8,15.53,1,"0.18
                                %",1.75,4.47 Cr.,52.64 Cr.,64.3 %,0.52,1.57
https://ticker.finology.in/company/RADICO,Radico Khaitan Ltd.,Breweries & Distilleries,2550.10,N/A,2579,2529.5,2611.65,13.63,2,"0.12
                                %",187.04,99.96 Cr.,737.09 Cr.,40.24 %,21.61,31.05
https://ticker.finology.in/company/TRUST,Trust Fintech Ltd.,IT - Software,174.25,N/A,178,168,316,4.13,10,"0
                                %",42.21,2.37 Cr.,0.17 Cr.,68.85 %,5.25,55.45
https://ticker.finology.in/company/PEL,Piramal Enterprises Ltd.,Finance - NBFC,1105.75,N/A,1126.55,1094.4,1275.4,1.15,2,"0.9
                                %",965.31,3734.3 Cr.,474.05 Cr.,46.3 %,10.55,-21.96
https://ticker.finology.in/company/CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Finance - NBFC,1193.50,N/A,1215.9,1191.25,1650,4.7,2,"0.17
                                %",254.1,18845.22 Cr.,3422.76 Cr.,50.24 %,45.67,47.72
https://ticker.finology.in/company/CIGNITITEC,Cigniti Technologies Ltd.,IT - Software,1850.00,N/A,1877,1840.1,1980.75,9.25,10,"0.16
                                %",199.96,72.5 Cr.,34.93 Cr.,22.68 %,24.26,13.22
